primary_name,movie_count,avg_budget,avg_income,total_income,avg_roi
Greg Berlanti,2,26000000.0,88587606.71428572,620113247.0,3.4003254293233085
Jon Lucas,2,24000000.0,154354633.0,617418532.0,5.8055134357142855
Scott Moore,2,24000000.0,154354633.0,617418532.0,5.8055134357142855
Steven Quale,2,45000000.0,152720268.0,610881072.0,2.4419332725
David Dobkin,2,50500000.0,76088807.75,608710462.0,0.5071613344230769
Jimmy Hayward,2,51000000.0,60704884.0,607048840.0,0.1207815597678917
Quentin Tarantino,2,81000000.0,298906604.5,597813209.0,2.4422003730645163
James Ponsoldt,2,15264705.88235294,34698644.058823526,589876949.0,1.3481445673202619
Yaser Talebi,2,47500000.0,48295039.166666664,579540470.0,0.8218808333333335
Gregory Plotkin,2,7750000.0,48039302.5,576471630.0,4.545171518181818
Marcus Nispel,2,31439285.714285713,40915687.428571425,572819624.0,8.72776608095238
John Luessenhop,2,24800000.0,56834515.0,568345150.0,1.31232124
Breck Eisner,2,49500000.0,93632223.0,561793338.0,1.3030269894736843
Nimród Antal,2,27777777.777777776,61594676.222222224,554352086.0,0.6940520382716051
McG,2,50200000.0,109768694.2,548843471.0,1.0055659107692307
Stan Harrington,2,23520000.0,109102737.8,545513689.0,3.3183031185913188
John Francis Daley,2,33400000.0,108335133.6,541675668.0,2.249078065911072
Jonathan Goldstein,2,33400000.0,108335133.6,541675668.0,2.249078065911072
Woody Allen,4,22900000.0,107298468.0,536492340.0,3.4582233351421188
In-ho Hwang,2,4045454.5454545454,48629682.18181818,534926504.0,9.616845527272728
David Bowers,3,20500000.0,65499227.625,523993821.0,2.256386081439394
Robert Schwentke,2,120500000.0,83212466.5,499274799.0,-0.255903220231823
Camille Delamarre,2,24571428.57142857,71293950.28571428,499057652.0,1.9341447643784786
Christopher Landon,4,10333333.333333334,55266486.44444445,497398378.0,7.863784992592593
Mark Neveldine,2,35000000.0,82073269.5,492439617.0,0.8831235512820513
Phillip Noyce,2,51250000.0,122567777.25,490271109.0,1.5551494076923078
Andy Fickman,3,29200000.0,97961000.6,489805003.0,2.394872272736842
Steven Soderbergh,6,19025000.0,60502127.375,484017019.0,5.400765516246341
Spike Lee,3,7977272.7272727275,43982349.45454545,483805844.0,2.3859546666666667
