movie_id,primary_title,movie,production_budget,worldwide_gross,roi
tt7867360,Abduction,Abduction,35000000.0,86648359.0,1.4756674
tt1600196,The Drop,The Drop,12600000.0,19054534.0,0.5122646031746032
tt4745746,The Drop,The Drop,12600000.0,19054534.0,0.5122646031746032
tt5177706,The Drop,The Drop,12600000.0,19054534.0,0.5122646031746032
tt1601913,The Grey,The Grey,25000000.0,81249176.0,2.24996704
tt1602098,Albert Nobbs,Albert Nobbs,7500000.0,8539003.0,0.13853373333333333
tt1602613,Only God Forgives,Only God Forgives,4800000.0,4494560.0,-0.06363333333333333
tt1602620,Amour,Amour,9700000.0,36787044.0,2.792478762886598
tt1604100,A Fine Step,A Fine Step,1000000.0,0.0,-1.0
tt1604171,Prom,Prom,8000000.0,10763183.0,0.345397875
tt1605630,American Reunion,American Reunion,50000000.0,236799211.0,3.73598422
tt1605776,The Visit,The Visit,5000000.0,98677816.0,18.7355632
tt1901018,The Visit,The Visit,5000000.0,98677816.0,18.7355632
tt2252032,The Visit,The Visit,5000000.0,98677816.0,18.7355632
tt3567288,The Visit,The Visit,5000000.0,98677816.0,18.7355632
tt1606378,A Good Day to Die Hard,A Good Day to Die Hard,92000000.0,304249198.0,2.3070565
tt1606389,The Vow,The Vow,30000000.0,197618160.0,5.587272
tt1606618,Iris,Iris,5500000.0,5580479.0,0.014632545454545455
tt2771280,Iris,Iris,5500000.0,5580479.0,0.014632545454545455
tt4157220,Iris,Iris,5500000.0,5580479.0,0.014632545454545455
tt8256978,Iris,Iris,5500000.0,5580479.0,0.014632545454545455
tt1606829,The Other Dream Team,The Other Dream Team,500000.0,314444.0,-0.371112
tt1608290,Zoolander 2,Zoolander 2,50000000.0,55348693.0,0.10697386
tt1609986,Three Kings,Three Kings,48000000.0,107752036.0,1.2448340833333333
tt1869233,Three Kings,Three Kings,48000000.0,107752036.0,1.2448340833333333
tt1610996,Absentia,Absentia,70000.0,8555.0,-0.8777857142857143
tt7501544,Absentia,Absentia,70000.0,8555.0,-0.8777857142857143
tt1611224,Abraham Lincoln: Vampire Hunter,Abraham Lincoln: Vampire Hunter,67500000.0,137489730.0,1.0368848888888889
tt1612319,Re-Kill,Re-Kill,9500000.0,0.0,-1.0
tt1612774,Rubber,Rubber,500000.0,680914.0,0.361828
tt1615065,Savages,Savages,45000000.0,82513490.0,0.8336331111111112
tt1615147,Margin Call,Margin Call,3400000.0,20433227.0,5.009772647058823
tt1615160,The Foreigner,The Foreigner,35000000.0,140783360.0,3.0223817142857143
tt2133340,The Foreigner,The Foreigner,35000000.0,140783360.0,3.0223817142857143
tt2170623,The Foreigner,The Foreigner,35000000.0,140783360.0,3.0223817142857143
tt1615918,Alvin and the Chipmunks: Chipwrecked,Alvin and the Chipmunks: Chipwrecked,80000000.0,349088523.0,3.3636065375
tt1616195,J. Edgar,J. Edgar,35000000.0,84606030.0,1.4173151428571429
tt1617136,Monster,Monster,5000000.0,64240813.0,11.8481626
tt2762040,Monster,Monster,5000000.0,64240813.0,11.8481626
tt3589450,Monster,Monster,5000000.0,64240813.0,11.8481626
tt6840904,Monster,Monster,5000000.0,64240813.0,11.8481626
tt8071360,Monster,Monster,5000000.0,64240813.0,11.8481626
tt9077038,Monster,Monster,5000000.0,64240813.0,11.8481626
tt9179232,Monster,Monster,5000000.0,64240813.0,11.8481626
tt9252692,Monster,Monster,5000000.0,64240813.0,11.8481626
tt1617661,Jupiter Ascending,Jupiter Ascending,179000000.0,181982519.0,0.016662117318435754
